id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
38,VBD_npp_d20251027_t1828371_x0972741E_y128400N_l0358_s0641_v23,2025-10-27 20:20:01,12.839975,97.274139,7.67576,2025-10-27 18:28:37,2025-10-28 01:28:37,358,641,0.163986,8,18785,0.387475,0.06875,0.735188,0.4,0.794393,0.75,9.66651e-22,0.0001,2.43896e-237,999999,999999,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251027_t1827577_e1829218_b72546_c20251027194954302000_oebc_ops.h5,GDNBO_npp_d20251027_t1827577_e1829218_b72546_c20251027194738002000_oebc_ops.h5,SVI04_npp_d20251027_t1827577_e1829218_b72546_c20251027195001965000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.451935,VBD_bridges_c20160811.shp,15.624369;13.844285;11.286646;6.447163;8.832262;10.718308,93.163628;107.336113;121.156898;119.827133;106.186371;92.288284,npp_d20251027_t1823415_e1825056_b72546;npp_d20251027_t1825069_e1826310_b72546;npp_d20251027_t1826323_e1827564_b72546;npp_d20251027_t1827577_e1829218_b72546,162.003,92.7572,58.159,97.0323,128.67,-114.906
42,VBD_npp_d20251027_t1828175_x0979513E_y138556N_l0192_s0707_v23,2025-10-27 20:20:01,13.855604,97.951309,2.38404,2025-10-27 18:28:17,2025-10-28 00:58:17,192,707,0.0955584,8,18721,0.128037,0.06875,0.515982,0.4,0.716614,0.75,4.73219e-22,0.0001,4.84199e-270,999999,999999,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251027_t1827577_e1829218_b72546_c20251027194954302000_oebc_ops.h5,GDNBO_npp_d20251027_t1827577_e1829218_b72546_c20251027194738002000_oebc_ops.h5,SVI04_npp_d20251027_t1827577_e1829218_b72546_c20251027195001965000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.639014,VBD_bridges_c20160811.shp,15.624369;13.844285;11.286646;6.447163;8.832262;10.718308,93.163628;107.336113;121.156898;119.827133;106.186371;92.288284,npp_d20251027_t1823415_e1825056_b72546;npp_d20251027_t1825069_e1826310_b72546;npp_d20251027_t1826323_e1827564_b72546;npp_d20251027_t1827577_e1829218_b72546,161.446,89.7806,56.5633,96.547,129.612,-114.227
43,VBD_npp_d20251027_t1828193_x0979526E_y138550N_l0193_s0708_v23,2025-10-27 20:20:01,13.855023,97.952614,3.03501,2025-10-27 18:28:19,2025-10-28 00:58:19,193,708,0.0890855,8,18721,0.157772,0.06875,0.515982,0.4,0.69288,0.75,4.72574e-22,0.0001,9.10098e-284,999999,999999,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251027_t1827577_e1829218_b72546_c20251027194954302000_oebc_ops.h5,GDNBO_npp_d20251027_t1827577_e1829218_b72546_c20251027194738002000_oebc_ops.h5,SVI04_npp_d20251027_t1827577_e1829218_b72546_c20251027195001965000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.625836,VBD_bridges_c20160811.shp,15.624369;13.844285;11.286646;6.447163;8.832262;10.718308,93.163628;107.336113;121.156898;119.827133;106.186371;92.288284,npp_d20251027_t1823415_e1825056_b72546;npp_d20251027_t1825069_e1826310_b72546;npp_d20251027_t1826323_e1827564_b72546;npp_d20251027_t1827577_e1829218_b72546,161.438,89.7846,56.5327,97.2278,129.62,-114.229
44,VBD_npp_d20251027_t1828584_x0975189E_y115430N_l0549_s0711_v23,2025-10-27 20:20:01,11.542953,97.518890,7.83549,2025-10-27 18:28:58,2025-10-28 01:28:58,549,711,0.101391,1,2401,0.373688,0.06875,0.778724,0.4,0.763991,0.75,1.27144e-21,0.0001,0,999999,999999,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251027_t1827577_e1829218_b72546_c20251027194954302000_oebc_ops.h5,GDNBO_npp_d20251027_t1827577_e1829218_b72546_c20251027194738002000_oebc_ops.h5,SVI04_npp_d20251027_t1827577_e1829218_b72546_c20251027195001965000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,15.624369;13.844285;11.286646;6.447163;8.832262;10.718308,93.163628;107.336113;121.156898;119.827133;106.186371;92.288284,npp_d20251027_t1823415_e1825056_b72546;npp_d20251027_t1825069_e1826310_b72546;npp_d20251027_t1826323_e1827564_b72546;npp_d20251027_t1827577_e1829218_b72546,161.571,96.6757,56.4588,97.3546,128.409,-115.853
45,VBD_npp_d20251027_t1828584_x0975425E_y115048N_l0554_s0715_v23,2025-10-27 20:20:01,11.504839,97.542496,3.77457,2025-10-27 18:28:58,2025-10-28 01:28:58,554,715,0.160145,2,2337,0.133701,0.06875,0.703406,0.4,0.564786,0.75,1.27008e-21,0.0001,0,999999,999999,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251027_t1827577_e1829218_b72546_c20251027194954302000_oebc_ops.h5,GDNBO_npp_d20251027_t1827577_e1829218_b72546_c20251027194738002000_oebc_ops.h5,SVI04_npp_d20251027_t1827577_e1829218_b72546_c20251027195001965000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,15.624369;13.844285;11.286646;6.447163;8.832262;10.718308,93.163628;107.336113;121.156898;119.827133;106.186371;92.288284,npp_d20251027_t1823415_e1825056_b72546;npp_d20251027_t1825069_e1826310_b72546;npp_d20251027_t1826323_e1827564_b72546;npp_d20251027_t1827577_e1829218_b72546,161.544,96.7858,56.3581,97.1384,128.413,-115.883
46,VBD_npp_d20251027_t1828567_x0975720E_y115721N_l0543_s0717_v23,2025-10-27 20:20:01,11.572106,97.572029,7.07262,2025-10-27 18:28:56,2025-10-28 01:28:56,543,717,0.104592,1,2401,0.342236,0.06875,0.748361,0.4,0.795794,0.75,1.21649e-21,0.0001,0,999999,999999,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251027_t1827577_e1829218_b72546_c20251027194954302000_oebc_ops.h5,GDNBO_npp_d20251027_t1827577_e1829218_b72546_c20251027194738002000_oebc_ops.h5,SVI04_npp_d20251027_t1827577_e1829218_b72546_c20251027195001965000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,15.624369;13.844285;11.286646;6.447163;8.832262;10.718308,93.163628;107.336113;121.156898;119.827133;106.186371;92.288284,npp_d20251027_t1823415_e1825056_b72546;npp_d20251027_t1825069_e1826310_b72546;npp_d20251027_t1826323_e1827564_b72546;npp_d20251027_t1827577_e1829218_b72546,161.53,96.5825,56.3108,96.9036,128.461,-115.839
47,VBD_npp_d20251027_t1828567_x0975962E_y115901N_l0540_s0720_v23,2025-10-27 20:20:01,11.590144,97.596207,3.95177,2025-10-27 18:28:56,2025-10-28 01:28:56,540,720,0.129417,2,2337,0.157398,0.06875,0.750451,0.4,0.60134,0.75,1.18946e-21,0.0001,0,999999,999999,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251027_t1827577_e1829218_b72546_c20251027194954302000_oebc_ops.h5,GDNBO_npp_d20251027_t1827577_e1829218_b72546_c20251027194738002000_oebc_ops.h5,SVI04_npp_d20251027_t1827577_e1829218_b72546_c20251027195001965000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,15.624369;13.844285;11.286646;6.447163;8.832262;10.718308,93.163628;107.336113;121.156898;119.827133;106.186371;92.288284,npp_d20251027_t1823415_e1825056_b72546;npp_d20251027_t1825069_e1826310_b72546;npp_d20251027_t1826323_e1827564_b72546;npp_d20251027_t1827577_e1829218_b72546,161.509,96.5257,56.233,97.0409,128.49,-115.83
48,VBD_npp_d20251027_t1828584_x0975939E_y114565N_l0560_s0723_v23,2025-10-27 20:20:01,11.456452,97.593872,2.34225,2025-10-27 18:28:58,2025-10-28 01:28:58,560,723,0.0826125,10,2305,0.127325,0.06875,0.368068,0.4,0.599759,0.75,1.25016e-21,0.0001,0,999999,999999,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251027_t1827577_e1829218_b72546_c20251027194954302000_oebc_ops.h5,GDNBO_npp_d20251027_t1827577_e1829218_b72546_c20251027194738002000_oebc_ops.h5,SVI04_npp_d20251027_t1827577_e1829218_b72546_c20251027195001965000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,15.624369;13.844285;11.286646;6.447163;8.832262;10.718308,93.163628;107.336113;121.156898;119.827133;106.186371;92.288284,npp_d20251027_t1823415_e1825056_b72546;npp_d20251027_t1825069_e1826310_b72546;npp_d20251027_t1826323_e1827564_b72546;npp_d20251027_t1827577_e1829218_b72546,161.488,96.9217,56.1542,96.8826,128.437,-115.923
49,VBD_npp_d20251027_t1828567_x0976246E_y115866N_l0540_s0724_v23,2025-10-27 20:20:01,11.586620,97.624626,14.1295,2025-10-27 18:28:56,2025-10-28 01:28:56,540,724,0.173731,1,2401,0.520682,0.06875,0.750608,0.4,0.827107,0.75,1.16902e-21,0.0001,0,999999,999999,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251027_t1827577_e1829218_b72546_c20251027194954302000_oebc_ops.h5,GDNBO_npp_d20251027_t1827577_e1829218_b72546_c20251027194738002000_oebc_ops.h5,SVI04_npp_d20251027_t1827577_e1829218_b72546_c20251027195001965000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,15.624369;13.844285;11.286646;6.447163;8.832262;10.718308,93.163628;107.336113;121.156898;119.827133;106.186371;92.288284,npp_d20251027_t1823415_e1825056_b72546;npp_d20251027_t1825069_e1826310_b72546;npp_d20251027_t1826323_e1827564_b72546;npp_d20251027_t1827577_e1829218_b72546,161.481,96.5324,56.1304,97.0464,128.513,-115.836
50,VBD_npp_d20251027_t1829002_x0975937E_y114548N_l0561_s0724_v23,2025-10-27 20:20:01,11.454843,97.593689,1.75037,2025-10-27 18:29:00,2025-10-28 01:29:00,561,724,0.0912905,10,2305,0.0868371,0.06875,0.368068,0.4,0.705464,0.75,1.2485e-21,0.0001,0,999999,999999,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251027_t1827577_e1829218_b72546_c20251027194954302000_oebc_ops.h5,GDNBO_npp_d20251027_t1827577_e1829218_b72546_c20251027194738002000_oebc_ops.h5,SVI04_npp_d20251027_t1827577_e1829218_b72546_c20251027195001965000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,15.624369;13.844285;11.286646;6.447163;8.832262;10.718308,93.163628;107.336113;121.156898;119.827133;106.186371;92.288284,npp_d20251027_t1823415_e1825056_b72546;npp_d20251027_t1825069_e1826310_b72546;npp_d20251027_t1826323_e1827564_b72546;npp_d20251027_t1827577_e1829218_b72546,161.481,96.9254,56.1277,97.5638,128.442,-115.925
