id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
6,VBD_npp_d20250902_t1858366_x1000972E_y125774N_l0708_s2155_v23,2025-09-02 21:27:26,12.577448,100.097206,3.28905,2025-09-02 18:58:36,2025-09-03 01:58:36,708,2155,0.209012,8,18689,0.116385,0.055,0.313239,0.4,0.472125,0.75,7.69155e-06,0.0001,6.81988e-17,999999,9.776794e-02,3,Thailand Exclusive Economic Zone,,,SVDNB_npp_d20250902_t1857180_e1858422_b71766_c20250902202632056000_oeac_ops.h5,GDNBO_npp_d20250902_t1857180_e1858422_b71766_c20250902202413845000_oeac_ops.h5,SVI04_npp_d20250902_t1857180_e1858422_b71766_c20250902202640005000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.750474,VBD_bridges_c20160811.shp,19.031017;17.326777;14.636539;9.814675;12.317140;14.119446,85.914925;100.350372;114.344078;112.922203;99.179115;85.101173,npp_d20250902_t1853018_e1854260_b71766;npp_d20250902_t1854272_e1855514_b71766;npp_d20250902_t1855526_e1857168_b71766;npp_d20250902_t1857180_e1858422_b71766,148.092,52.0559,7.01226,-82.5518,94.0856,-118.068
7,VBD_npp_d20250902_t1858366_x1000950E_y125641N_l0710_s2155_v23,2025-09-02 21:27:26,12.564135,100.094978,2.79129,2025-09-02 18:58:36,2025-09-03 01:58:36,710,2155,0.242728,8,18689,0.0687477,0.055,0.313239,0.4,0.327209,0.75,7.69155e-06,0.0001,7.40699e-17,999999,-9.375794e-02,3,Thailand Exclusive Economic Zone,,,SVDNB_npp_d20250902_t1857180_e1858422_b71766_c20250902202632056000_oeac_ops.h5,GDNBO_npp_d20250902_t1857180_e1858422_b71766_c20250902202413845000_oeac_ops.h5,SVI04_npp_d20250902_t1857180_e1858422_b71766_c20250902202640005000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.750591,VBD_bridges_c20160811.shp,19.031017;17.326777;14.636539;9.814675;12.317140;14.119446,85.914925;100.350372;114.344078;112.922203;99.179115;85.101173,npp_d20250902_t1853018_e1854260_b71766;npp_d20250902_t1854272_e1855514_b71766;npp_d20250902_t1855526_e1857168_b71766;npp_d20250902_t1857180_e1858422_b71766,148.102,52.0702,7.00948,-81.6039,94.0775,-118.07
8,VBD_npp_d20250902_t1858241_x1008739E_y131280N_l0608_s2245_v23,2025-09-02 21:27:26,13.128032,100.873878,9.57654,2025-09-02 18:58:24,2025-09-03 01:58:24,608,2245,0.0639762,10,2305,0.0580605,0.055,0.24206,0.4,0.246382,0.75,3.31266e-06,0.0001,5.01397e-20,999999,3.743581e-02,1,Thailand Exclusive Economic Zone,,,SVDNB_npp_d20250902_t1857180_e1858422_b71766_c20250902202632056000_oeac_ops.h5,GDNBO_npp_d20250902_t1857180_e1858422_b71766_c20250902202413845000_oeac_ops.h5,SVI04_npp_d20250902_t1857180_e1858422_b71766_c20250902202640005000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.031017;17.326777;14.636539;9.814675;12.317140;14.119446,85.914925;100.350372;114.344078;112.922203;99.179115;85.101173,npp_d20250902_t1853018_e1854260_b71766;npp_d20250902_t1854272_e1855514_b71766;npp_d20250902_t1855526_e1857168_b71766;npp_d20250902_t1857180_e1858422_b71766,147.196,52.2156,12.1927,-78.3675,94.9686,-117.897
9,VBD_npp_d20250902_t1858312_x1008357E_y127003N_l0672_s2254_v23,2025-09-02 21:27:26,12.700268,100.835709,3.40924,2025-09-02 18:58:31,2025-09-03 01:58:31,672,2254,0.169748,10,2305,0.0808551,0.055,0.388345,0.4,0.376083,0.75,4.17624e-06,0.0001,3.34988e-20,999999,7.603361e-01,1,Thailand Exclusive Economic Zone,,,SVDNB_npp_d20250902_t1857180_e1858422_b71766_c20250902202632056000_oeac_ops.h5,GDNBO_npp_d20250902_t1857180_e1858422_b71766_c20250902202413845000_oeac_ops.h5,SVI04_npp_d20250902_t1857180_e1858422_b71766_c20250902202640005000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.031017;17.326777;14.636539;9.814675;12.317140;14.119446,85.914925;100.350372;114.344078;112.922203;99.179115;85.101173,npp_d20250902_t1853018_e1854260_b71766;npp_d20250902_t1854272_e1855514_b71766;npp_d20250902_t1855526_e1857168_b71766;npp_d20250902_t1857180_e1858422_b71766,147.464,52.735,12.7003,-78.4667,94.7604,-117.925
10,VBD_npp_d20250902_t1858366_x1007752E_y124679N_l0708_s2254_v23,2025-09-02 21:27:26,12.467925,100.775215,1.48671,2025-09-02 18:58:36,2025-09-03 01:58:36,708,2254,0.283913,10,2305,0.0917101,0.055,0.37168,0.4,0.653906,0.75,4.19271e-06,0.0001,2.64432e-20,999999,-8.494733e-02,3,Thailand Exclusive Economic Zone,,,SVDNB_npp_d20250902_t1857180_e1858422_b71766_c20250902202632056000_oeac_ops.h5,GDNBO_npp_d20250902_t1857180_e1858422_b71766_c20250902202413845000_oeac_ops.h5,SVI04_npp_d20250902_t1857180_e1858422_b71766_c20250902202640005000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.031017;17.326777;14.636539;9.814675;12.317140;14.119446,85.914925;100.350372;114.344078;112.922203;99.179115;85.101173,npp_d20250902_t1853018_e1854260_b71766;npp_d20250902_t1854272_e1855514_b71766;npp_d20250902_t1855526_e1857168_b71766;npp_d20250902_t1857180_e1858422_b71766,147.634,52.9825,12.6972,-81.6374,94.618,-117.946
11,VBD_npp_d20250902_t1858330_x1008349E_y126959N_l0673_s2255_v23,2025-09-02 21:27:26,12.695899,100.834892,3.79676,2025-09-02 18:58:33,2025-09-03 01:58:33,673,2255,0.158652,2,2337,0.0704061,0.055,0.479473,0.4,0.370813,0.75,4.1638e-06,0.0001,1.73162e-20,999999,5.326154e-01,1,Thailand Exclusive Economic Zone,,,SVDNB_npp_d20250902_t1857180_e1858422_b71766_c20250902202632056000_oeac_ops.h5,GDNBO_npp_d20250902_t1857180_e1858422_b71766_c20250902202413845000_oeac_ops.h5,SVI04_npp_d20250902_t1857180_e1858422_b71766_c20250902202640005000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.031017;17.326777;14.636539;9.814675;12.317140;14.119446,85.914925;100.350372;114.344078;112.922203;99.179115;85.101173,npp_d20250902_t1853018_e1854260_b71766;npp_d20250902_t1854272_e1855514_b71766;npp_d20250902_t1855526_e1857168_b71766;npp_d20250902_t1857180_e1858422_b71766,147.461,52.748,12.7555,-82.4048,94.7637,-117.924
12,VBD_npp_d20250902_t1858401_x1007320E_y122581N_l0740_s2255_v23,2025-09-02 21:27:26,12.258142,100.732033,0.963618,2025-09-02 18:58:40,2025-09-03 01:58:40,740,2255,0.35917,10,2305,0.0558785,0.055,0.247437,0.4,0.59741,0.75,4.1638e-06,0.0001,2.96713e-20,999999,1.484894e-02,3,Thailand Exclusive Economic Zone,,,SVDNB_npp_d20250902_t1857180_e1858422_b71766_c20250902202632056000_oeac_ops.h5,GDNBO_npp_d20250902_t1857180_e1858422_b71766_c20250902202413845000_oeac_ops.h5,SVI04_npp_d20250902_t1857180_e1858422_b71766_c20250902202640005000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.031017;17.326777;14.636539;9.814675;12.317140;14.119446,85.914925;100.350372;114.344078;112.922203;99.179115;85.101173,npp_d20250902_t1853018_e1854260_b71766;npp_d20250902_t1854272_e1855514_b71766;npp_d20250902_t1855526_e1857168_b71766;npp_d20250902_t1857180_e1858422_b71766,147.782,53.2155,12.7505,-81.6469,94.4949,-117.963
13,VBD_npp_d20250902_t1858330_x1009149E_y126272N_l0681_s2268_v23,2025-09-02 21:27:26,12.627227,100.914902,10.4895,2025-09-02 18:58:33,2025-09-03 01:58:33,681,2268,0.193506,2,2337,0.236817,0.055,0.621732,0.4,0.547936,0.75,3.78789e-06,0.0001,7.56873e-21,999999,3.926471e-01,1,,,,SVDNB_npp_d20250902_t1857180_e1858422_b71766_c20250902202632056000_oeac_ops.h5,GDNBO_npp_d20250902_t1857180_e1858422_b71766_c20250902202413845000_oeac_ops.h5,SVI04_npp_d20250902_t1857180_e1858422_b71766_c20250902202640005000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.031017;17.326777;14.636539;9.814675;12.317140;14.119446,85.914925;100.350372;114.344078;112.922203;99.179115;85.101173,npp_d20250902_t1853018_e1854260_b71766;npp_d20250902_t1854272_e1855514_b71766;npp_d20250902_t1855526_e1857168_b71766;npp_d20250902_t1857180_e1858422_b71766,147.44,52.9251,13.4834,-80.3079,94.8005,-117.913
14,VBD_npp_d20250902_t1858383_x1009068E_y123314N_l0725_s2277_v23,2025-09-02 21:27:26,12.331386,100.906822,2.90119,2025-09-02 18:58:38,2025-09-03 01:58:38,725,2277,0.277938,2,2337,0.2008,0.055,0.619747,0.4,0.744106,0.75,3.52765e-06,0.0001,3.69189e-21,999999,1.375870e-01,3,Thailand Exclusive Economic Zone,,,SVDNB_npp_d20250902_t1857180_e1858422_b71766_c20250902202632056000_oeac_ops.h5,GDNBO_npp_d20250902_t1857180_e1858422_b71766_c20250902202413845000_oeac_ops.h5,SVI04_npp_d20250902_t1857180_e1858422_b71766_c20250902202640005000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.031017;17.326777;14.636539;9.814675;12.317140;14.119446,85.914925;100.350372;114.344078;112.922203;99.179115;85.101173,npp_d20250902_t1853018_e1854260_b71766;npp_d20250902_t1854272_e1855514_b71766;npp_d20250902_t1855526_e1857168_b71766;npp_d20250902_t1857180_e1858422_b71766,147.607,53.3131,13.993,-81.2941,94.6737,-117.928
15,VBD_npp_d20250902_t1858383_x1009287E_y122929N_l0730_s2281_v23,2025-09-02 21:27:26,12.292910,100.928680,1.36917,2025-09-02 18:58:38,2025-09-03 01:58:38,730,2281,0.328014,2,2337,0.0579631,0.055,0.564825,0.4,0.487991,0.75,3.41463e-06,0.0001,3.16583e-21,999999,3.545808e-01,3,Thailand Exclusive Economic Zone,,,SVDNB_npp_d20250902_t1857180_e1858422_b71766_c20250902202632056000_oeac_ops.h5,GDNBO_npp_d20250902_t1857180_e1858422_b71766_c20250902202413845000_oeac_ops.h5,SVI04_npp_d20250902_t1857180_e1858422_b71766_c20250902202640005000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.031017;17.326777;14.636539;9.814675;12.317140;14.119446,85.914925;100.350372;114.344078;112.922203;99.179115;85.101173,npp_d20250902_t1853018_e1854260_b71766;npp_d20250902_t1854272_e1855514_b71766;npp_d20250902_t1855526_e1857168_b71766;npp_d20250902_t1857180_e1858422_b71766,147.613,53.3866,14.2183,-80.1011,94.6746,-117.926
