id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20250917_t1739085_x1041235E_y059289N_l0450_s0010_v23,2025-09-17 19:56:35,5.928946,104.123535,15.9931,2025-09-17 17:39:08,2025-09-18 01:39:08,450,10,0.253185,8,18785,0.588237,0.17875,0.83772,0.4,0.932204,0.75,1.28238e-18,0.0001,0,999999,999999,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20250917_t1738184_e1739426_b71978_c20250917190603242000_oeac_ops.h5,GDNBO_npp_d20250917_t1738184_e1739426_b71978_c20250917190300898000_oeac_ops.h5,SVI04_npp_d20250917_t1738184_e1739426_b71978_c20250917190611063000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.299816,VBD_bridges_c20160811.shp,8.796804;6.854625;4.542847;-0.326505;1.839947;3.907357,104.639763;118.469948;132.076889;130.920517;117.347336;103.631813,npp_d20250917_t1738184_e1739426_b71978;npp_d20250917_t1739438_e1741080_b71978;npp_d20250917_t1741092_e1742334_b71978;npp_d20250917_t1742346_e1743588_b71978,167.021,52.9097,70.0982,97.7926,119.636,60.9103
2,VBD_npp_d20250917_t1739067_x1041873E_y059539N_l0444_s0017_v23,2025-09-17 19:56:35,5.953935,104.187309,107.857,2025-09-17 17:39:06,2025-09-18 01:39:06,444,17,0.258733,4,35173,1.25221,0.17875,0.890303,0.4,0.969392,0.75,1.37772e-18,0.0001,0,999999,999999,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20250917_t1738184_e1739426_b71978_c20250917190603242000_oeac_ops.h5,GDNBO_npp_d20250917_t1738184_e1739426_b71978_c20250917190300898000_oeac_ops.h5,SVI04_npp_d20250917_t1738184_e1739426_b71978_c20250917190611063000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.796804;6.854625;4.542847;-0.326505;1.839947;3.907357,104.639763;118.469948;132.076889;130.920517;117.347336;103.631813,npp_d20250917_t1738184_e1739426_b71978;npp_d20250917_t1739438_e1741080_b71978;npp_d20250917_t1741092_e1742334_b71978;npp_d20250917_t1742346_e1743588_b71978,166.961,52.9754,69.9837,97.4875,119.575,60.9191
4,VBD_npp_d20250917_t1739085_x1042150E_y059093N_l0451_s0023_v23,2025-09-17 19:56:35,5.909339,104.215050,15.1462,2025-09-17 17:39:08,2025-09-18 01:39:08,451,23,0.209652,8,18785,0.570412,0.17875,0.822799,0.4,0.906893,0.75,1.38856e-18,0.0001,0,999999,999999,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20250917_t1738184_e1739426_b71978_c20250917190603242000_oeac_ops.h5,GDNBO_npp_d20250917_t1738184_e1739426_b71978_c20250917190300898000_oeac_ops.h5,SVI04_npp_d20250917_t1738184_e1739426_b71978_c20250917190611063000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.751232,VBD_bridges_c20160811.shp,8.796804;6.854625;4.542847;-0.326505;1.839947;3.907357,104.639763;118.469948;132.076889;130.920517;117.347336;103.631813,npp_d20250917_t1738184_e1739426_b71978;npp_d20250917_t1739438_e1741080_b71978;npp_d20250917_t1741092_e1742334_b71978;npp_d20250917_t1742346_e1743588_b71978,166.96,53.2236,69.8943,97.7737,119.567,60.9534
5,VBD_npp_d20250917_t1738311_x1047029E_y080497N_l0114_s0030_v23,2025-09-17 19:56:35,8.049660,104.702888,8.28126,2025-09-17 17:38:31,2025-09-18 00:38:31,114,30,0.167401,1,2401,0.35426,0.17875,0.728799,0.4,0.860664,0.75,5.80876e-18,0.0001,0,999999,999999,3,Vietnamese Exclusive Economic Zone,,,SVDNB_npp_d20250917_t1738184_e1739426_b71978_c20250917190603242000_oeac_ops.h5,GDNBO_npp_d20250917_t1738184_e1739426_b71978_c20250917190300898000_oeac_ops.h5,SVI04_npp_d20250917_t1738184_e1739426_b71978_c20250917190611063000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.796804;6.854625;4.542847;-0.326505;1.839947;3.907357,104.639763;118.469948;132.076889;130.920517;117.347336;103.631813,npp_d20250917_t1738184_e1739426_b71978;npp_d20250917_t1739438_e1741080_b71978;npp_d20250917_t1741092_e1742334_b71978;npp_d20250917_t1742346_e1743588_b71978,165.337,47.433,69.7801,97.316,118.232,60.0867
6,VBD_npp_d20250917_t1739050_x1043381E_y060109N_l0432_s0036_v23,2025-09-17 19:56:35,6.010888,104.338104,13.7894,2025-09-17 17:39:05,2025-09-18 01:39:05,432,36,0.212853,2,2337,0.496785,0.17875,0.736376,0.4,0.560646,0.75,1.62448e-18,0.0001,0,999999,999999,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20250917_t1738184_e1739426_b71978_c20250917190603242000_oeac_ops.h5,GDNBO_npp_d20250917_t1738184_e1739426_b71978_c20250917190300898000_oeac_ops.h5,SVI04_npp_d20250917_t1738184_e1739426_b71978_c20250917190611063000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.796804;6.854625;4.542847;-0.326505;1.839947;3.907357,104.639763;118.469948;132.076889;130.920517;117.347336;103.631813,npp_d20250917_t1738184_e1739426_b71978;npp_d20250917_t1739438_e1741080_b71978;npp_d20250917_t1741092_e1742334_b71978;npp_d20250917_t1742346_e1743588_b71978,166.813,53.1627,69.6882,97.3641,119.424,60.9447
7,VBD_npp_d20250917_t1738311_x1047868E_y080389N_l0114_s0042_v23,2025-09-17 19:56:35,8.038918,104.786804,8.34228,2025-09-17 17:38:31,2025-09-18 00:38:31,114,42,0.142007,1,2401,0.326712,0.17875,0.678973,0.4,0.842991,0.75,6.22676e-18,0.0001,0,999999,999999,3,Vietnamese Exclusive Economic Zone,,,SVDNB_npp_d20250917_t1738184_e1739426_b71978_c20250917190603242000_oeac_ops.h5,GDNBO_npp_d20250917_t1738184_e1739426_b71978_c20250917190300898000_oeac_ops.h5,SVI04_npp_d20250917_t1738184_e1739426_b71978_c20250917190611063000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.796804;6.854625;4.542847;-0.326505;1.839947;3.907357,104.639763;118.469948;132.076889;130.920517;117.347336;103.631813,npp_d20250917_t1738184_e1739426_b71978;npp_d20250917_t1739438_e1741080_b71978;npp_d20250917_t1741092_e1742334_b71978;npp_d20250917_t1742346_e1743588_b71978,165.283,47.6888,69.5938,97.3279,118.165,60.1247
8,VBD_npp_d20250917_t1739067_x1044037E_y059742N_l0437_s0047_v23,2025-09-17 19:56:35,5.974156,104.403709,17.9357,2025-09-17 17:39:06,2025-09-18 01:39:06,437,47,0.28683,1,2401,0.680952,0.17875,0.857291,0.4,0.961877,0.75,1.69216e-18,0.0001,0,999999,999999,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20250917_t1738184_e1739426_b71978_c20250917190603242000_oeac_ops.h5,GDNBO_npp_d20250917_t1738184_e1739426_b71978_c20250917190300898000_oeac_ops.h5,SVI04_npp_d20250917_t1738184_e1739426_b71978_c20250917190611063000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.796804;6.854625;4.542847;-0.326505;1.839947;3.907357,104.639763;118.469948;132.076889;130.920517;117.347336;103.631813,npp_d20250917_t1738184_e1739426_b71978;npp_d20250917_t1739438_e1741080_b71978;npp_d20250917_t1741092_e1742334_b71978;npp_d20250917_t1742346_e1743588_b71978,166.776,53.4807,69.5162,97.7097,119.379,60.989
9,VBD_npp_d20250917_t1739032_x1044608E_y060993N_l0416_s0051_v23,2025-09-17 19:56:35,6.099283,104.460785,7.47699,2025-09-17 17:39:03,2025-09-18 01:39:03,416,51,0.232557,1,2401,0.382257,0.17875,0.681623,0.4,0.890007,0.75,1.8778e-18,0.0001,0,999999,999999,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20250917_t1738184_e1739426_b71978_c20250917190603242000_oeac_ops.h5,GDNBO_npp_d20250917_t1738184_e1739426_b71978_c20250917190300898000_oeac_ops.h5,SVI04_npp_d20250917_t1738184_e1739426_b71978_c20250917190611063000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.796804;6.854625;4.542847;-0.326505;1.839947;3.907357,104.639763;118.469948;132.076889;130.920517;117.347336;103.631813,npp_d20250917_t1738184_e1739426_b71978;npp_d20250917_t1739438_e1741080_b71978;npp_d20250917_t1741092_e1742334_b71978;npp_d20250917_t1742346_e1743588_b71978,166.668,53.1662,69.4605,97.3499,119.282,60.9451
10,VBD_npp_d20250917_t1739050_x1044630E_y060992N_l0417_s0052_v23,2025-09-17 19:56:35,6.099184,104.463036,7.84511,2025-09-17 17:39:05,2025-09-18 01:39:05,417,52,0.232557,1,2401,0.327399,0.17875,0.681623,0.4,0.858829,0.75,1.88058e-18,0.0001,0,999999,999999,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20250917_t1738184_e1739426_b71978_c20250917190603242000_oeac_ops.h5,GDNBO_npp_d20250917_t1738184_e1739426_b71978_c20250917190300898000_oeac_ops.h5,SVI04_npp_d20250917_t1738184_e1739426_b71978_c20250917190611063000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.796804;6.854625;4.542847;-0.326505;1.839947;3.907357,104.639763;118.469948;132.076889;130.920517;117.347336;103.631813,npp_d20250917_t1738184_e1739426_b71978;npp_d20250917_t1739438_e1741080_b71978;npp_d20250917_t1741092_e1742334_b71978;npp_d20250917_t1742346_e1743588_b71978,166.66,53.1919,69.4388,97.8064,119.274,60.9487
13,VBD_npp_d20250917_t1738329_x1049890E_y078326N_l0141_s0076_v23,2025-09-17 19:56:35,7.832560,104.988960,11.2885,2025-09-17 17:38:32,2025-09-18 00:38:32,141,76,0.150756,1,2401,0.392503,0.17875,0.794016,0.4,0.78274,0.75,6.67988e-18,0.0001,0,999999,999999,3,Vietnamese Exclusive Economic Zone,,,SVDNB_npp_d20250917_t1738184_e1739426_b71978_c20250917190603242000_oeac_ops.h5,GDNBO_npp_d20250917_t1738184_e1739426_b71978_c20250917190300898000_oeac_ops.h5,SVI04_npp_d20250917_t1738184_e1739426_b71978_c20250917190611063000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.796804;6.854625;4.542847;-0.326505;1.839947;3.907357,104.639763;118.469948;132.076889;130.920517;117.347336;103.631813,npp_d20250917_t1738184_e1739426_b71978;npp_d20250917_t1739438_e1741080_b71978;npp_d20250917_t1741092_e1742334_b71978;npp_d20250917_t1742346_e1743588_b71978,165.266,48.8293,69.0709,97.0671,118.089,60.2992
