id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
18,VBD_npp_d20251031_t1853461_x0964477E_y130647N_l0285_s1415_v23,2025-10-31 20:56:58,13.064651,96.447716,2.97011,2025-10-31 18:53:46,2025-11-01 01:53:46,285,1415,0.251975,1,2529,0.22373,0.107927,0.66434,0.4,0.826973,0.75,0.000886944,0.0001,3.46321e-05,999999,-9.182500e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251031_t1853155_e1854397_b72603_c20251031201449174000_oebc_ops.h5,GDNBO_npp_d20251031_t1853155_e1854397_b72603_c20251031201229534000_oebc_ops.h5,SVI04_npp_d20251031_t1853155_e1854397_b72603_c20251031201457704000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.060801;14.290434;11.716837;6.878722;9.278294;11.152901,86.902100;101.103340;114.940170;113.602020;99.951622;86.038246,npp_d20251031_t1850247_e1851489_b72603;npp_d20251031_t1851501_e1853143_b72603;npp_d20251031_t1853155_e1854397_b72603;npp_d20251031_t1854409_e1856051_b72603,156.67,96.047,33.0024,97.5754,87.6492,-102.232
20,VBD_npp_d20251031_t1853461_x0968655E_y130473N_l0279_s1475_v23,2025-10-31 20:56:58,13.047338,96.865479,34.7639,2025-10-31 18:53:46,2025-11-01 01:53:46,279,1475,0.295081,4,100837,0.953051,0.147267,0.888219,0.4,0.969159,0.75,0.000792467,0.0001,1.4435e-05,999999,5.798961e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251031_t1853155_e1854397_b72603_c20251031201449174000_oebc_ops.h5,GDNBO_npp_d20251031_t1853155_e1854397_b72603_c20251031201229534000_oebc_ops.h5,SVI04_npp_d20251031_t1853155_e1854397_b72603_c20251031201457704000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.060801;14.290434;11.716837;6.878722;9.278294;11.152901,86.902100;101.103340;114.940170;113.602020;99.951622;86.038246,npp_d20251031_t1850247_e1851489_b72603;npp_d20251031_t1851501_e1853143_b72603;npp_d20251031_t1853155_e1854397_b72603;npp_d20251031_t1854409_e1856051_b72603,156.264,96.0821,30.2882,98.2389,88.0436,-102.132
21,VBD_npp_d20251031_t1853318_x0973147E_y137907N_l0159_s1515_v23,2025-10-31 20:56:58,13.790672,97.314659,6.21614,2025-10-31 18:53:31,2025-11-01 01:53:31,159,1515,0.168966,1,2529,0.325629,0.13219,0.853955,0.4,0.799506,0.75,0.000666865,0.0001,8.5649e-06,999999,2.022073e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251031_t1853155_e1854397_b72603_c20251031201449174000_oebc_ops.h5,GDNBO_npp_d20251031_t1853155_e1854397_b72603_c20251031201229534000_oebc_ops.h5,SVI04_npp_d20251031_t1853155_e1854397_b72603_c20251031201457704000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.060801;14.290434;11.716837;6.878722;9.278294;11.152901,86.902100;101.103340;114.940170;113.602020;99.951622;86.038246,npp_d20251031_t1850247_e1851489_b72603;npp_d20251031_t1851501_e1853143_b72603;npp_d20251031_t1853155_e1854397_b72603;npp_d20251031_t1854409_e1856051_b72603,155.954,94.423,28.4102,97.4021,88.5725,-102.072
22,VBD_npp_d20251031_t1853336_x0973042E_y137668N_l0163_s1515_v23,2025-10-31 20:56:58,13.766833,97.304192,21.4889,2025-10-31 18:53:33,2025-11-01 01:53:33,163,1515,0.169961,1,2529,0.741375,0.148673,0.857914,0.4,0.920929,0.75,0.000669112,0.0001,6.81798e-06,999999,4.453849e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251031_t1853155_e1854397_b72603_c20251031201449174000_oebc_ops.h5,GDNBO_npp_d20251031_t1853155_e1854397_b72603_c20251031201229534000_oebc_ops.h5,SVI04_npp_d20251031_t1853155_e1854397_b72603_c20251031201457704000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.060801;14.290434;11.716837;6.878722;9.278294;11.152901,86.902100;101.103340;114.940170;113.602020;99.951622;86.038246,npp_d20251031_t1850247_e1851489_b72603;npp_d20251031_t1851501_e1853143_b72603;npp_d20251031_t1853155_e1854397_b72603;npp_d20251031_t1854409_e1856051_b72603,155.955,94.4761,28.406,98.731,88.5644,-102.071
23,VBD_npp_d20251031_t1853336_x0973117E_y137247N_l0169_s1517_v23,2025-10-31 20:56:58,13.724653,97.311722,5.30274,2025-10-31 18:53:33,2025-11-01 01:53:33,169,1517,0.227862,1,2529,0.314928,0.162854,0.823756,0.4,0.816352,0.75,0.000669883,0.0001,7.4663e-06,999999,-9.111083e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251031_t1853155_e1854397_b72603_c20251031201449174000_oebc_ops.h5,GDNBO_npp_d20251031_t1853155_e1854397_b72603_c20251031201229534000_oebc_ops.h5,SVI04_npp_d20251031_t1853155_e1854397_b72603_c20251031201457704000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.060801;14.290434;11.716837;6.878722;9.278294;11.152901,86.902100;101.103340;114.940170;113.602020;99.951622;86.038246,npp_d20251031_t1850247_e1851489_b72603;npp_d20251031_t1851501_e1853143_b72603;npp_d20251031_t1853155_e1854397_b72603;npp_d20251031_t1854409_e1856051_b72603,155.945,94.5708,28.3117,98.0726,88.5627,-102.068
24,VBD_npp_d20251031_t1853318_x0973746E_y137754N_l0160_s1524_v23,2025-10-31 20:56:58,13.775448,97.374619,14.231,2025-10-31 18:53:31,2025-11-01 01:53:31,160,1524,0.216125,1,2529,0.565144,0.143708,0.800273,0.4,0.884789,0.75,0.000655756,0.0001,7.60399e-06,999999,9.203785e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251031_t1853155_e1854397_b72603_c20251031201449174000_oebc_ops.h5,GDNBO_npp_d20251031_t1853155_e1854397_b72603_c20251031201229534000_oebc_ops.h5,SVI04_npp_d20251031_t1853155_e1854397_b72603_c20251031201457704000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.060801;14.290434;11.716837;6.878722;9.278294;11.152901,86.902100;101.103340;114.940170;113.602020;99.951622;86.038246,npp_d20251031_t1850247_e1851489_b72603;npp_d20251031_t1851501_e1853143_b72603;npp_d20251031_t1853155_e1854397_b72603;npp_d20251031_t1854409_e1856051_b72603,155.895,94.4612,27.9879,97.2937,88.6263,-102.056
25,VBD_npp_d20251031_t1853318_x0974026E_y137784N_l0159_s1528_v23,2025-10-31 20:56:58,13.778352,97.402580,5.19554,2025-10-31 18:53:31,2025-11-01 01:53:31,159,1528,0.199552,2,2209,0.170282,0.149348,0.756001,0.4,0.488139,0.75,0.000650013,0.0001,7.00793e-06,999999,3.808277e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251031_t1853155_e1854397_b72603_c20251031201449174000_oebc_ops.h5,GDNBO_npp_d20251031_t1853155_e1854397_b72603_c20251031201229534000_oebc_ops.h5,SVI04_npp_d20251031_t1853155_e1854397_b72603_c20251031201457704000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.060801;14.290434;11.716837;6.878722;9.278294;11.152901,86.902100;101.103340;114.940170;113.602020;99.951622;86.038246,npp_d20251031_t1850247_e1851489_b72603;npp_d20251031_t1851501_e1853143_b72603;npp_d20251031_t1853155_e1854397_b72603;npp_d20251031_t1854409_e1856051_b72603,155.868,94.4566,27.7992,97.4067,88.6535,-102.049
26,VBD_npp_d20251031_t1853389_x0974957E_y133674N_l0218_s1554_v23,2025-10-31 20:56:58,13.367411,97.495659,5.90679,2025-10-31 18:53:38,2025-11-01 01:53:38,218,1554,0.169392,1,2529,0.335975,0.154666,0.701381,0.4,0.813552,0.75,0.000648967,0.0001,4.36268e-06,999999,-1.278527e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251031_t1853155_e1854397_b72603_c20251031201449174000_oebc_ops.h5,GDNBO_npp_d20251031_t1853155_e1854397_b72603_c20251031201229534000_oebc_ops.h5,SVI04_npp_d20251031_t1853155_e1854397_b72603_c20251031201457704000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.060801;14.290434;11.716837;6.878722;9.278294;11.152901,86.902100;101.103340;114.940170;113.602020;99.951622;86.038246,npp_d20251031_t1850247_e1851489_b72603;npp_d20251031_t1851501_e1853143_b72603;npp_d20251031_t1853155_e1854397_b72603;npp_d20251031_t1854409_e1856051_b72603,155.714,95.3734,26.5295,98.0006,88.6836,-102.003
27,VBD_npp_d20251031_t1853389_x0975444E_y134088N_l0211_s1560_v23,2025-10-31 20:56:58,13.408815,97.544441,6.64446,2025-10-31 18:53:38,2025-11-01 01:53:38,211,1560,0.198272,1,2529,0.375553,0.163567,0.735851,0.4,0.846662,0.75,0.000637085,0.0001,3.4154e-06,999999,-9.792456e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251031_t1853155_e1854397_b72603_c20251031201449174000_oebc_ops.h5,GDNBO_npp_d20251031_t1853155_e1854397_b72603_c20251031201229534000_oebc_ops.h5,SVI04_npp_d20251031_t1853155_e1854397_b72603_c20251031201457704000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.060801;14.290434;11.716837;6.878722;9.278294;11.152901,86.902100;101.103340;114.940170;113.602020;99.951622;86.038246,npp_d20251031_t1850247_e1851489_b72603;npp_d20251031_t1851501_e1853143_b72603;npp_d20251031_t1853155_e1854397_b72603;npp_d20251031_t1854409_e1856051_b72603,155.67,95.2837,26.2324,98.8594,88.7386,-101.993
31,VBD_npp_d20251031_t1853496_x0975525E_y127260N_l0312_s1582_v23,2025-10-31 20:56:58,12.725988,97.552490,39.1818,2025-10-31 18:53:49,2025-11-01 01:53:49,312,1582,0.336906,1,2529,0.918078,0.144924,0.856355,0.4,0.945483,0.75,0.000664167,0.0001,2.77583e-06,999999,8.040127e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_npp_d20251031_t1853155_e1854397_b72603_c20251031201449174000_oebc_ops.h5,GDNBO_npp_d20251031_t1853155_e1854397_b72603_c20251031201229534000_oebc_ops.h5,SVI04_npp_d20251031_t1853155_e1854397_b72603_c20251031201457704000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.060801;14.290434;11.716837;6.878722;9.278294;11.152901,86.902100;101.103340;114.940170;113.602020;99.951622;86.038246,npp_d20251031_t1850247_e1851489_b72603;npp_d20251031_t1851501_e1853143_b72603;npp_d20251031_t1853155_e1854397_b72603;npp_d20251031_t1854409_e1856051_b72603,155.548,96.7813,25.143,98.3,88.6455,-101.954
