id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
15,VBD_j01_d20251001_t1836146_x0973745E_y137787N_l0745_s0913_v23,2025-10-01 20:14:06,13.778696,97.374458,8.69161,2025-10-01 18:36:14,2025-10-02 01:36:14,745,913,0.125718,1,2401,0.456588,0.035,0.713012,0.4,0.872352,0.75,8.64206e-05,0.0001,1.71312e-08,999999,4.716976e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20251001_t1834522_e1836167_b40781_c20251001191229737000_oebc_ops.h5,GDNBO_j01_d20251001_t1834522_e1836167_b40781_c20251001190959998000_oebc_ops.h5,SVI04_j01_d20251001_t1834522_e1836167_b40781_c20251001191238479000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.388493;17.546354;13.759595;9.004008;12.520542;14.456780,90.778275;106.159142;124.502037;122.983757;104.960777;89.969238,j01_d20251001_t1834522_e1836167_b40781;j01_d20251001_t1836179_e1837424_b40781;j01_d20251001_t1837437_e1839064_b40781;j01_d20251001_t1839077_e1840322_b40781,158.564,63.1068,46.6953,97.3265,91.9202,-114.664
16,VBD_j01_d20251001_t1836146_x0973689E_y137384N_l0751_s0913_v23,2025-10-01 20:14:06,13.738433,97.368858,1.32465,2025-10-01 18:36:14,2025-10-02 01:36:14,751,913,0.106868,2,2337,0.0434398,0.035,0.551926,0.4,0.545509,0.75,8.64206e-05,0.0001,2.28682e-08,999999,1.712363e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20251001_t1834522_e1836167_b40781_c20251001191229737000_oebc_ops.h5,GDNBO_j01_d20251001_t1834522_e1836167_b40781_c20251001190959998000_oebc_ops.h5,SVI04_j01_d20251001_t1834522_e1836167_b40781_c20251001191238479000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.388493;17.546354;13.759595;9.004008;12.520542;14.456780,90.778275;106.159142;124.502037;122.983757;104.960777;89.969238,j01_d20251001_t1834522_e1836167_b40781;j01_d20251001_t1836179_e1837424_b40781;j01_d20251001_t1837437_e1839064_b40781;j01_d20251001_t1839077_e1840322_b40781,158.587,63.1907,46.6973,96.9763,91.8985,-114.666
17,VBD_j01_d20251001_t1836146_x0974542E_y138092N_l0739_s0924_v23,2025-10-01 20:14:06,13.809211,97.454185,3.02791,2025-10-01 18:36:14,2025-10-02 01:36:14,739,924,0.129559,10,2305,0.137241,0.035,0.359031,0.4,0.592115,0.75,8.14508e-05,0.0001,1.4206e-08,999999,1.734602e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20251001_t1834522_e1836167_b40781_c20251001191229737000_oebc_ops.h5,GDNBO_j01_d20251001_t1834522_e1836167_b40781_c20251001190959998000_oebc_ops.h5,SVI04_j01_d20251001_t1834522_e1836167_b40781_c20251001191238479000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.388493;17.546354;13.759595;9.004008;12.520542;14.456780,90.778275;106.159142;124.502037;122.983757;104.960777;89.969238,j01_d20251001_t1834522_e1836167_b40781;j01_d20251001_t1836179_e1837424_b40781;j01_d20251001_t1837437_e1839064_b40781;j01_d20251001_t1839077_e1840322_b40781,158.481,63.1456,46.3414,97.6953,92.0033,-114.645
18,VBD_j01_d20251001_t1836146_x0974899E_y138197N_l0737_s0929_v23,2025-10-01 20:14:06,13.819715,97.489868,2.03744,2025-10-01 18:36:14,2025-10-02 01:36:14,737,929,0.085031,10,2305,0.0512932,0.035,0.310633,0.4,0.318863,0.75,7.91918e-05,0.0001,1.33512e-08,999999,4.028522e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20251001_t1834522_e1836167_b40781_c20251001191229737000_oebc_ops.h5,GDNBO_j01_d20251001_t1834522_e1836167_b40781_c20251001190959998000_oebc_ops.h5,SVI04_j01_d20251001_t1834522_e1836167_b40781_c20251001191238479000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.388493;17.546354;13.759595;9.004008;12.520542;14.456780,90.778275;106.159142;124.502037;122.983757;104.960777;89.969238,j01_d20251001_t1834522_e1836167_b40781;j01_d20251001_t1836179_e1837424_b40781;j01_d20251001_t1837437_e1839064_b40781;j01_d20251001_t1839077_e1840322_b40781,158.446,63.17,46.1802,97.8358,92.0392,-114.637
19,VBD_j01_d20251001_t1836128_x0976426E_y138930N_l0723_s0948_v23,2025-10-01 20:14:06,13.893041,97.642563,4.03217,2025-10-01 18:36:12,2025-10-02 01:36:12,723,948,0.0678173,1,2401,0.279436,0.035,0.604139,0.4,0.829153,0.75,7.06075e-05,0.0001,1.69986e-08,999999,1.804051e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20251001_t1834522_e1836167_b40781_c20251001191229737000_oebc_ops.h5,GDNBO_j01_d20251001_t1834522_e1836167_b40781_c20251001190959998000_oebc_ops.h5,SVI04_j01_d20251001_t1834522_e1836167_b40781_c20251001191238479000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.388493;17.546354;13.759595;9.004008;12.520542;14.456780,90.778275;106.159142;124.502037;122.983757;104.960777;89.969238,j01_d20251001_t1834522_e1836167_b40781;j01_d20251001_t1836179_e1837424_b40781;j01_d20251001_t1837437_e1839064_b40781;j01_d20251001_t1839077_e1840322_b40781,158.287,63.2001,45.5349,97.7393,92.198,-114.602
20,VBD_j01_d20251001_t1836128_x0976488E_y138368N_l0731_s0950_v23,2025-10-01 20:14:06,13.836774,97.648819,3.47513,2025-10-01 18:36:12,2025-10-02 01:36:12,731,950,0.068742,2,2337,0.201456,0.035,0.488202,0.4,0.625285,0.75,6.97039e-05,0.0001,2.55116e-08,999999,1.585766e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20251001_t1834522_e1836167_b40781_c20251001191229737000_oebc_ops.h5,GDNBO_j01_d20251001_t1834522_e1836167_b40781_c20251001190959998000_oebc_ops.h5,SVI04_j01_d20251001_t1834522_e1836167_b40781_c20251001191238479000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.388493;17.546354;13.759595;9.004008;12.520542;14.456780,90.778275;106.159142;124.502037;122.983757;104.960777;89.969238,j01_d20251001_t1834522_e1836167_b40781;j01_d20251001_t1836179_e1837424_b40781;j01_d20251001_t1837437_e1839064_b40781;j01_d20251001_t1839077_e1840322_b40781,158.307,63.3347,45.4684,97.2506,92.1802,-114.601
33,VBD_j01_d20251001_t1836128_x0979082E_y137693N_l0736_s0989_v23,2025-10-01 20:14:06,13.769295,97.908249,1.5381,2025-10-01 18:36:12,2025-10-02 01:06:12,736,989,0.166618,10,2305,0.0591436,0.035,0.138364,0.4,0.439142,0.75,5.20836e-05,0.0001,4.32405e-08,999999,2.285423e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20251001_t1834522_e1836167_b40781_c20251001191229737000_oebc_ops.h5,GDNBO_j01_d20251001_t1834522_e1836167_b40781_c20251001190959998000_oebc_ops.h5,SVI04_j01_d20251001_t1834522_e1836167_b40781_c20251001191238479000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.388493;17.546354;13.759595;9.004008;12.520542;14.456780,90.778275;106.159142;124.502037;122.983757;104.960777;89.969238,j01_d20251001_t1834522_e1836167_b40781;j01_d20251001_t1836179_e1837424_b40781;j01_d20251001_t1837437_e1839064_b40781;j01_d20251001_t1839077_e1840322_b40781,158.111,63.8282,44.1561,96.9914,92.3811,-114.543
34,VBD_j01_d20251001_t1836128_x0979158E_y137751N_l0735_s0990_v23,2025-10-01 20:14:06,13.775127,97.915825,1.45116,2025-10-01 18:36:12,2025-10-02 01:06:12,735,990,0.133827,10,2305,0.0571875,0.035,0.138364,0.4,0.38762,0.75,5.16318e-05,0.0001,4.15802e-08,999999,9.731528e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20251001_t1834522_e1836167_b40781_c20251001191229737000_oebc_ops.h5,GDNBO_j01_d20251001_t1834522_e1836167_b40781_c20251001190959998000_oebc_ops.h5,SVI04_j01_d20251001_t1834522_e1836167_b40781_c20251001191238479000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.388493;17.546354;13.759595;9.004008;12.520542;14.456780,90.778275;106.159142;124.502037;122.983757;104.960777;89.969238,j01_d20251001_t1834522_e1836167_b40781;j01_d20251001_t1836179_e1837424_b40781;j01_d20251001_t1837437_e1839064_b40781;j01_d20251001_t1839077_e1840322_b40781,158.102,63.825,44.1221,97.0556,92.3902,-114.542
35,VBD_j01_d20251001_t1836128_x0979356E_y138677N_l0721_s0991_v23,2025-10-01 20:14:06,13.867719,97.935593,2.49564,2025-10-01 18:36:12,2025-10-02 01:06:12,721,991,0.161426,2,2337,0.14301,0.035,0.407507,0.4,0.736721,0.75,5.118e-05,0.0001,2.18269e-08,999999,2.339080e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20251001_t1834522_e1836167_b40781_c20251001191229737000_oebc_ops.h5,GDNBO_j01_d20251001_t1834522_e1836167_b40781_c20251001190959998000_oebc_ops.h5,SVI04_j01_d20251001_t1834522_e1836167_b40781_c20251001191238479000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.388493;17.546354;13.759595;9.004008;12.520542;14.456780,90.778275;106.159142;124.502037;122.983757;104.960777;89.969238,j01_d20251001_t1834522_e1836167_b40781;j01_d20251001_t1836179_e1837424_b40781;j01_d20251001_t1837437_e1839064_b40781;j01_d20251001_t1839077_e1840322_b40781,158.044,63.6446,44.0859,97.9398,92.4461,-114.535
36,VBD_j01_d20251001_t1836111_x0979557E_y139115N_l0714_s0992_v23,2025-10-01 20:14:06,13.911464,97.955750,1.92258,2025-10-01 18:36:11,2025-10-02 01:06:11,714,992,0.120881,10,2305,0.040752,0.035,0.245082,0.4,0.404977,0.75,5.07282e-05,0.0001,3.23996e-08,999999,2.054339e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20251001_t1834522_e1836167_b40781_c20251001191229737000_oebc_ops.h5,GDNBO_j01_d20251001_t1834522_e1836167_b40781_c20251001190959998000_oebc_ops.h5,SVI04_j01_d20251001_t1834522_e1836167_b40781_c20251001191238479000_oebc_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.388493;17.546354;13.759595;9.004008;12.520542;14.456780,90.778275;106.159142;124.502037;122.983757;104.960777;89.969238,j01_d20251001_t1834522_e1836167_b40781;j01_d20251001_t1836179_e1837424_b40781;j01_d20251001_t1837437_e1839064_b40781;j01_d20251001_t1839077_e1840322_b40781,158.013,63.5641,44.0514,97.3658,92.4757,-114.531
