id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
6,VBD_j01_d20250915_t1836422_x0968671E_y130478N_l0339_s0876_v23,2025-09-15 20:02:00,13.047848,96.867134,7.48712,2025-09-15 18:36:42,2025-09-16 01:36:42,339,876,0.0592104,4,100837,0.399909,0.120165,0.68219,0.4,0.867712,0.75,0.000422003,0.0001,1.36133e-54,999999,-3.126512e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20250915_t1836044_e1837272_b40554_c20250915191033332000_oeac_ops.h5,GDNBO_j01_d20250915_t1836044_e1837272_b40554_c20250915190758164000_oeac_ops.h5,SVI04_j01_d20250915_t1836044_e1837272_b40554_c20250915191041217000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.029642;14.120405;10.579364;5.887794;9.196030;11.206076,90.139351;105.241425;123.333328;122.003723;104.095604;89.287529,j01_d20250915_t1836044_e1837272_b40554;j01_d20250915_t1837284_e1838529_b40554;j01_d20250915_t1838542_e1840187_b40554;j01_d20250915_t1840199_e1841444_b40554,156.703,48.6335,47.8925,97.6825,85.5484,62.5674
8,VBD_j01_d20250915_t1836351_x0972277E_y133754N_l0283_s0917_v23,2025-09-15 20:02:00,13.375380,97.227669,5.35401,2025-09-15 18:36:35,2025-09-16 01:36:35,283,917,0.0585703,1,2529,0.295949,0.120165,0.712922,0.4,0.794117,0.75,0.000471976,0.0001,1.77213e-50,999999,3.122567e-03,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20250915_t1836044_e1837272_b40554_c20250915191033332000_oeac_ops.h5,GDNBO_j01_d20250915_t1836044_e1837272_b40554_c20250915190758164000_oeac_ops.h5,SVI04_j01_d20250915_t1836044_e1837272_b40554_c20250915191041217000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.029642;14.120405;10.579364;5.887794;9.196030;11.206076,90.139351;105.241425;123.333328;122.003723;104.095604;89.287529,j01_d20250915_t1836044_e1837272_b40554;j01_d20250915_t1837284_e1838529_b40554;j01_d20250915_t1838542_e1840187_b40554;j01_d20250915_t1840199_e1841444_b40554,156.245,48.6332,46.5708,97.2454,85.1101,62.6572
9,VBD_j01_d20250915_t1836351_x0972574E_y133920N_l0280_s0921_v23,2025-09-15 20:02:00,13.391980,97.257393,16.4637,2025-09-15 18:36:35,2025-09-16 01:36:35,280,921,0.102316,1,2529,0.628368,0.120165,0.802725,0.4,0.886187,0.75,0.000476004,0.0001,4.61356e-50,999999,1.042552e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20250915_t1836044_e1837272_b40554_c20250915191033332000_oeac_ops.h5,GDNBO_j01_d20250915_t1836044_e1837272_b40554_c20250915190758164000_oeac_ops.h5,SVI04_j01_d20250915_t1836044_e1837272_b40554_c20250915191041217000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.029642;14.120405;10.579364;5.887794;9.196030;11.206076,90.139351;105.241425;123.333328;122.003723;104.095604;89.287529,j01_d20250915_t1836044_e1837272_b40554;j01_d20250915_t1837284_e1838529_b40554;j01_d20250915_t1838542_e1840187_b40554;j01_d20250915_t1840199_e1841444_b40554,156.212,48.6551,46.4416,97.4269,85.0768,62.6642
10,VBD_j01_d20250915_t1836351_x0972870E_y134085N_l0277_s0925_v23,2025-09-15 20:02:00,13.408517,97.286987,17.5238,2025-09-15 18:36:35,2025-09-16 01:36:35,277,925,0.117609,1,2529,0.665921,0.120165,0.821077,0.4,0.918391,0.75,0.000480043,0.0001,1.18642e-49,999999,1.551494e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20250915_t1836044_e1837272_b40554_c20250915191033332000_oeac_ops.h5,GDNBO_j01_d20250915_t1836044_e1837272_b40554_c20250915190758164000_oeac_ops.h5,SVI04_j01_d20250915_t1836044_e1837272_b40554_c20250915191041217000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.029642;14.120405;10.579364;5.887794;9.196030;11.206076,90.139351;105.241425;123.333328;122.003723;104.095604;89.287529,j01_d20250915_t1836044_e1837272_b40554;j01_d20250915_t1837284_e1838529_b40554;j01_d20250915_t1838542_e1840187_b40554;j01_d20250915_t1840199_e1841444_b40554,156.18,48.677,46.3128,97.609,85.0436,62.6712
11,VBD_j01_d20250915_t1836333_x0973183E_y134372N_l0272_s0928_v23,2025-09-15 20:02:00,13.437201,97.318344,3.77333,2025-09-15 18:36:33,2025-09-16 01:36:33,272,928,0.0735789,7,2465,0.203638,0.120165,0.73706,0.4,0.661515,0.75,0.000484434,0.0001,1.55153e-49,999999,2.030372e-01,3,,,,SVDNB_j01_d20250915_t1836044_e1837272_b40554_c20250915191033332000_oeac_ops.h5,GDNBO_j01_d20250915_t1836044_e1837272_b40554_c20250915190758164000_oeac_ops.h5,SVI04_j01_d20250915_t1836044_e1837272_b40554_c20250915191041217000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.029642;14.120405;10.579364;5.887794;9.196030;11.206076,90.139351;105.241425;123.333328;122.003723;104.095604;89.287529,j01_d20250915_t1836044_e1837272_b40554;j01_d20250915_t1837284_e1838529_b40554;j01_d20250915_t1838542_e1840187_b40554;j01_d20250915_t1840199_e1841444_b40554,156.143,48.6685,46.2193,96.9576,85.0094,62.6783
12,VBD_j01_d20250915_t1836351_x0973178E_y134332N_l0273_s0929_v23,2025-09-15 20:02:00,13.433239,97.317795,3.48605,2025-09-15 18:36:35,2025-09-16 01:36:35,273,929,0.0859557,7,2465,0.177489,0.120165,0.73706,0.4,0.709124,0.75,0.000484586,0.0001,3.24119e-49,999999,1.942529e-02,3,,,,SVDNB_j01_d20250915_t1836044_e1837272_b40554_c20250915191033332000_oeac_ops.h5,GDNBO_j01_d20250915_t1836044_e1837272_b40554_c20250915190758164000_oeac_ops.h5,SVI04_j01_d20250915_t1836044_e1837272_b40554_c20250915191041217000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.029642;14.120405;10.579364;5.887794;9.196030;11.206076,90.139351;105.241425;123.333328;122.003723;104.095604;89.287529,j01_d20250915_t1836044_e1837272_b40554;j01_d20250915_t1837284_e1838529_b40554;j01_d20250915_t1838542_e1840187_b40554;j01_d20250915_t1840199_e1841444_b40554,156.141,48.6869,46.1836,97.8651,85.0055,62.6792
14,VBD_j01_d20250915_t1836547_x0973919E_y121576N_l0461_s0976_v23,2025-09-15 20:02:00,12.157583,97.391899,23.5005,2025-09-15 18:36:54,2025-09-16 01:36:54,461,976,0.1881,1,2529,0.804326,0.120165,0.824273,0.4,0.943236,0.75,0.000425675,0.0001,6.38769e-47,999999,5.064499e-02,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20250915_t1836044_e1837272_b40554_c20250915191033332000_oeac_ops.h5,GDNBO_j01_d20250915_t1836044_e1837272_b40554_c20250915190758164000_oeac_ops.h5,SVI04_j01_d20250915_t1836044_e1837272_b40554_c20250915191041217000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.029642;14.120405;10.579364;5.887794;9.196030;11.206076,90.139351;105.241425;123.333328;122.003723;104.095604;89.287529,j01_d20250915_t1836044_e1837272_b40554;j01_d20250915_t1837284_e1838529_b40554;j01_d20250915_t1838542_e1840187_b40554;j01_d20250915_t1840199_e1841444_b40554,156.846,51.1916,44.5924,97.29,85.4603,62.5929
15,VBD_j01_d20250915_t1836547_x0974138E_y121684N_l0459_s0979_v23,2025-09-15 20:02:00,12.168377,97.413811,5.39556,2025-09-15 18:36:54,2025-09-16 01:36:54,459,979,0.125647,1,2529,0.295228,0.120165,0.794031,0.4,0.816501,0.75,0.000428252,0.0001,1.24149e-46,999999,1.274322e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20250915_t1836044_e1837272_b40554_c20250915191033332000_oeac_ops.h5,GDNBO_j01_d20250915_t1836044_e1837272_b40554_c20250915190758164000_oeac_ops.h5,SVI04_j01_d20250915_t1836044_e1837272_b40554_c20250915191041217000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.029642;14.120405;10.579364;5.887794;9.196030;11.206076,90.139351;105.241425;123.333328;122.003723;104.095604;89.287529,j01_d20250915_t1836044_e1837272_b40554;j01_d20250915_t1837284_e1838529_b40554;j01_d20250915_t1838542_e1840187_b40554;j01_d20250915_t1840199_e1841444_b40554,156.822,51.2079,44.4908,97.4186,85.4363,62.5975
16,VBD_j01_d20250915_t1836565_x0974657E_y121084N_l0467_s0989_v23,2025-09-15 20:02:00,12.108368,97.465683,13.5585,2025-09-15 18:36:56,2025-09-16 01:36:56,467,989,0.147199,1,2529,0.523904,0.120165,0.735924,0.4,0.848006,0.75,0.000430154,0.0001,8.8471e-46,999999,2.732094e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20250915_t1836044_e1837272_b40554_c20250915191033332000_oeac_ops.h5,GDNBO_j01_d20250915_t1836044_e1837272_b40554_c20250915190758164000_oeac_ops.h5,SVI04_j01_d20250915_t1836044_e1837272_b40554_c20250915191041217000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.029642;14.120405;10.579364;5.887794;9.196030;11.206076,90.139351;105.241425;123.333328;122.003723;104.095604;89.287529,j01_d20250915_t1836044_e1837272_b40554;j01_d20250915_t1837284_e1838529_b40554;j01_d20250915_t1838542_e1840187_b40554;j01_d20250915_t1840199_e1841444_b40554,156.815,51.4144,44.1544,97.9426,85.4127,62.6022
17,VBD_j01_d20250915_t1836547_x0975016E_y121228N_l0464_s0993_v23,2025-09-15 20:02:00,12.122766,97.501633,10.134,2025-09-15 18:36:54,2025-09-16 01:36:54,464,993,0.100466,1,2529,0.435187,0.120165,0.79916,0.4,0.835077,0.75,0.000433795,0.0001,1.19449e-45,999999,1.312700e-01,3,Myanmar Exclusive Economic Zone,,,SVDNB_j01_d20250915_t1836044_e1837272_b40554_c20250915191033332000_oeac_ops.h5,GDNBO_j01_d20250915_t1836044_e1837272_b40554_c20250915190758164000_oeac_ops.h5,SVI04_j01_d20250915_t1836044_e1837272_b40554_c20250915191041217000_oeac_ops.dspace_rad,,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,16.029642;14.120405;10.579364;5.887794;9.196030;11.206076,90.139351;105.241425;123.333328;122.003723;104.095604;89.287529,j01_d20250915_t1836044_e1837272_b40554;j01_d20250915_t1837284_e1838529_b40554;j01_d20250915_t1838542_e1840187_b40554;j01_d20250915_t1840199_e1841444_b40554,156.784,51.4346,44.0226,97.1198,85.381,62.6082
